"TITLE"	"SUMMARY"	"URL"	"change"
"Indonesia's Pertamina picks Shell to process Iraqi crude -official"	"Indonesia's Pertamina picks Shell to process Iraqi crude -official"	"http://uk.finance.yahoo.com/news/indonesias-pertamina-picks-shell-process-121149090.html"	"N"
"Exxon Mobil wins a round in climate litigation"	"Exxon Mobil wins a round in climate litigation"	"http://sg.finance.yahoo.com/news/exxon-mobil-wins-round-climate-233856868.html"	"N"
"Exclusive: BP-Exxon impasse blocks renewal of giant Azeri oil deal - sources"	"Exclusive: BP-Exxon impasse blocks renewal of giant Azeri oil deal - sources"	"http://sg.finance.yahoo.com/news/exclusive-bp-exxon-impasse-blocks-105013751.html"	"N"
"Norway union warns of oil service strike, may hit output"	"Norway union warns of oil service strike, may hit output"	"http://uk.finance.yahoo.com/news/norway-union-warns-oil-strike-110346309.html"	"N"
"Norway labour union warns of oil service strike, may hit output"	"Norway labour union warns of oil service strike, may hit output"	"http://uk.finance.yahoo.com/news/norway-labour-union-warns-oil-095306841.html"	"N"
"The oil industry is losing the burn of Asian demand"	"The oil industry is losing the burn of Asian demand"	"http://sg.finance.yahoo.com/news/oil-industry-losing-burn-asian-003214177.html"	"N"
"Exxon refutes Nigeria oil militants' pipeline attack claim"	"Exxon refutes Nigeria oil militants' pipeline attack claim"	"http://sg.finance.yahoo.com/news/exxon-refutes-nigeria-oil-militants-150135589.html"	"N"
"House GOP subpoenas NY, Mass. AGs on climate change probe"	"House GOP subpoenas NY, Mass. AGs on climate change probe"	"http://sg.finance.yahoo.com/news/house-gop-subpoenas-ny-mass-193912190.html"	"N"
"NY attorney general rejects GOP lawmaker's request on Exxon"	"NY attorney general rejects GOP lawmaker's request on Exxon"	"http://sg.finance.yahoo.com/news/ny-attorney-general-rejects-gop-175922717.html"	"N"
"Oil Search mulls revised bid for InterOil"	"[AAP] - Australian oil and gas producer Oil Search could find itself dragged into a bidding war over InterOil after a counter-bid by global energy giant ExxonMobil. The Papua New Guinea-focused company said on Monday its near $3 billion bid for InterOil had suffered a setback with the target company switching its support to a superior proposal from ExxonMobil. It is now discussing with French energy giant Total, its backer for the bid, on whether to submit a revised offer for New York-listed InterOil."	"http://au.finance.yahoo.com/news/oil-search-mulls-revised-bid-025411466.html"	"N"
"InterOil Board of Directors Determines Unsolicited ExxonMobil Proposal Constitutes a Superior Proposal to Oil Search Transaction"	"[at noodls] - 719da466-c766-4ccd-8913-fc986349fac6.pdf MEDIA RELEASE FOR IMMEDIATE RELEASE Singapore and Port Moresby, July 18, 2016: InterOil Corporation (the Company) (NYSE: IOC; POMSoX: IOC) announced ..."	"http://www.publicnow.com/view/7484F0320268BD066D4F6A3ED6F130880C2C0284"	"N"
"Oil Search faces challenge over InterOil"	"[AAP] - Australian oil and gas producer Oil Search could find itself dragged into a bidding war over InterOil after a counter-bid by global energy giant ExxonMobil. The Papua New Guinea-focused company said on Monday its near $3 billion bid for InterOil had suffered a setback with the target company switching its support to a superior proposal from ExxonMobil. It is now discussing with French energy giant Total, its backer for the bid, on whether to submit a revised offer for New York-listed InterOil."	"http://au.finance.yahoo.com/news/oil-search-faces-challenge-over-074957309.html"	"N"
"ExxonMobil launches bidding war for InterOil in PNG gas push"	"ExxonMobil launches bidding war for InterOil in PNG gas push"	"http://sg.finance.yahoo.com/news/exxonmobil-launches-bidding-war-interoil-032337025.html"	"N"
"Total seen unlikely to fight ExxonMobil over South Pacific gas"	"[Reuters] - Total SA (TOTF.PA) is unlikely to take on ExxonMobil (XOM.N) in a bidding war for explorer InterOil Corp (IOC.N), the French giant's partner in a rich gas field in Papua New Guinea, analysts said on Wednesday.ExxonMobil this week trumped an offer from Oil Search, which was backed by Total. Oil Search is due to declare on Thursday whether or not it will match ExxonMobil's $2.2 billion bid. ExxonMobil and Total both want to simplify the ownership of the Elk-Antelope gas field by taking out InterOil's 36.5 percent stake."	"http://sg.finance.yahoo.com/news/total-seen-unlikely-fight-exxonmobil-083935698.html"	"N"
"ExxonMobil to Expand Specialty Elastomers Capacity at Newport, Wales Plant"	"ExxonMobil to Expand Specialty Elastomers Capacity at Newport, Wales Plant"	"http://uk.finance.yahoo.com/news/exxonmobil-expand-specialty-elastomers-capacity-183300411.html"	"N"
"Oil Search steps away from InterOil bid"	"[AAP] - Papua New Guinea-focused Oil Search has backed down from a bidding war with global energy giant ExxonMobil, choosing not to raise its near $3 billion bid for New York-listed explorer InterOil. The decision will clear the way for ExxonMobil, the world's largest oil company, to take a stake in PNG's Elk-Antelope gas field and hold an interest in the undeveloped Papua LNG project that will rival its existing LNG project in that country. Given the decision by ExxonMobil to make an offer for InterOil on the terms it has announced, we do not believe it is in the best interests of our shareholders for Oil Search to submit a revised offer, Oil Search chief executive Peter Botten said."	"http://au.finance.yahoo.com/news/oil-search-steps-away-interoil-022959268.html"	"N"
"Oil Search backs down from InterOil bid"	"[AAP] - Oil Search has backed down from a bidding war over New York-listed explorer InterOil, following a counter-bid by global energy giant ExxonMobil. Given the decision by ExxonMobil to make an offer for InterOil on the terms it has announced, we do not believe it is in the best interests of our shareholders for Oil Search to submit a revised offer, Oil Search chief executive Peter Botten said on Thursday. ExxonMobil outlined a scrip-based offer for InterOil earlier this month, beating a near $3 billion bid by Oil Search that had been backed by French energy giant Total."	"http://au.finance.yahoo.com/news/oil-search-backs-down-interoil-003708809.html"	"N"
"Oil Search drops InterOil bid after ExxonMobil offer"	"Oil Search drops InterOil bid after ExxonMobil offer"	"http://uk.finance.yahoo.com/news/oil-search-drops-interoil-bid-052826485.html"	"N"
"ExxonMobil to Acquire InterOil in Transaction Worth More Than $2.5 Billion"	"[Business Wire] - IRVING, Texas & SINGAPORE & PORT MORESBY, Papua New Guinea--(BUSINESSWIRE)-- Exxon Mobil Corporation (NYSE:XOM - News) and InterOil Corporation (NYSE: IOC, POMSoX: IOC) today announced an agreed transaction worth more than $2.5 billion, under which ExxonMobil will acquire all of the outstanding shares of InterOil (the ExxonMobil Transaction). <U+393C><U+3E33>This agreement will enable ExxonMobil to create value for the shareholders of both companies and the people of Papua New Guinea,<U+393C><U+3E34> said Rex W. Tillerson, chairman and chief executive officer of Exxon Mobil Corporation."	"http://au.finance.yahoo.com/news/exxonmobil-acquire-interoil-transaction-worth-161000766.html"	"N"
"Exxon Mobil to buy InterOil for $US2.5b"	"[AAP] - Exxon Mobil Corp has emerged as the winning bidder for InterOil Corp, which has natural gas holdings in Papua New Guinea. Exxon on Thursday said it would pay $US2.5 billion ($A3.34 billion) for InterOil in a deal that will complement its large liquefied natural gas facility in the country. Exxon hopes to capitalise on growing demand for cleaner fuels in Asia."	"http://au.finance.yahoo.com/news/exxon-mobil-buy-interoil-us2-214213691.html"	"N"
"Exxon Mobil to buy InterOil for $2.5 billion"	"Exxon Mobil to buy InterOil for $2.5 billion"	"http://sg.finance.yahoo.com/news/exxon-mobil-buy-interoil-2-185605152.html"	"N"
"ExxonMobil to Release Second Quarter 2016 Financial Results"	"[at noodls] - IRVING, Texas--(BUSINESS WIRE)--Exxon Mobil Corporation (NYSE:XOM) will release second quarter financial results on Friday, July 29, 2016. A press release will be issued via Business Wire and available ..."	"http://www.publicnow.com/view/ADF4927FA1C27CFD8DCB99961813CB8D582D1DED"	"N"
"SABIC and ExxonMobil Evaluating Petrochemical Joint Venture on U.S. Gulf Coast"	"[at noodls] - 25 Jul 2016 SABIC and an affiliate of Exxon Mobil Corporation (ExxonMobil) are considering the potential development of a jointly owned petrochemical complex on the U.S. Gulf Coast. If developed, the project ..."	"http://www.publicnow.com/view/500003EE010AD6C3E52CF4B6839CDBC45371DF8D"	"N"
"ExxonMobil Acquisition of InterOil Presentation"	"[at noodls] - PowerPoint Presentation ExxonMobil acquisition of InterOil: Delivering superior value to InterOil shareholders July 21, 2016 Statements in this presentation relating to future plans, projections, events ..."	"http://www.publicnow.com/view/CA39D3908860ED3040A9857BB6197CDBA0559BCE"	"N"
"ExxonMobil to Expand Ultra-Low Sulfur Fuels Production at Beaumont Refinery"	"[at noodls] - BEAUMONT, Texas--(BUSINESS WIRE)--ExxonMobil today announced plans to increase production of ultra-low sulfur fuels at its Beaumont refinery by approximately 40,000 barrels per day, further strengthening ..."	"http://www.publicnow.com/view/AEBB9CD8EB2891B08E11F7010D2CA9DCB8B0DD05"	"N"
"ExxonMobil, Statoil among firms looking to drill off Cyprus"	"ExxonMobil, Statoil among firms looking to drill off Cyprus"	"http://sg.finance.yahoo.com/news/exxonmobil-capricorn-oil-statoil-seek-130348486.html"	"N"
"2 attorneys general refuse subpoenas on climate change probe"	"2 attorneys general refuse subpoenas on climate change probe"	"http://sg.finance.yahoo.com/news/ny-ag-objects-house-gop-163156451.html"	"N"
"Cyprus says Statoil, Exxon, ENI, Total interested in offshore gas"	"Cyprus says Statoil, Exxon, ENI, Total interested in offshore gas"	"http://sg.finance.yahoo.com/news/cyprus-says-statoil-exxon-eni-110415755.html"	"N"
"Landmark contract signed with ExxonMobil PNG"	"[at noodls] - 28 July 2016 at Kumul Petroleum Academy's SLPP Site Group International Limited (Site, ASX:SIT) is pleased to announced that Kumul Petroleum Academy, which trades as South Pacific Employment Institute ..."	"http://www.publicnow.com/view/BC7FFFCE59911281A7816DC8E6693E5AF80F29EC"	"N"
"Exxon Mobil Corporation Declares Third Quarter Dividend"	"[at noodls] - IRVING, Texas--(BUSINESS WIRE)--The Board of Directors of Exxon Mobil Corporation (NYSE:XOM) today declared a cash dividend of 75 cents per share on the Common Stock, payable on September 9, 2016 to shareholders ..."	"http://www.publicnow.com/view/9BFAACC361CD74E115871C868B1A2A2DF9BF0FD9"	"N"
"ExxonMobil profits plunge on low oil prices"	"ExxonMobil profits plunge on low oil prices"	"http://uk.finance.yahoo.com/news/exxonmobil-profits-plunge-low-oil-122552144.html"	"N"
"Exxon misses Street 2Q forecasts"	"[AAP] - Exxon Mobil Corp (XOM) has reported second-quarter profit of $US1.7 billion ($A2.27 billion). The Irving, Texas-based company said it had profit of 41 cents per share. The results did not meet Wall Street ..."	"http://au.finance.yahoo.com/news/exxon-misses-street-2q-forecasts-122808628.html"	"N"
"ExxonMobil Earns $1.7 Billion in Second Quarter of 2016"	"[at noodls] - IRVING, Texas--(BUSINESS WIRE)--Exxon Mobil Corporation (NYSE: XOM): Second Quarter First Half ... This is an abstract of the original noodl. To continue reading this document, click here for the original ..."	"http://www.publicnow.com/view/72A919FBBF05B49EFC20602DF4119FC86CD4F423"	"N"
"Exxon reports smallest profit since 1999"	"Exxon reports smallest profit since 1999"	"http://sg.finance.yahoo.com/news/exxon-misses-street-2q-forecasts-120645214.html"	"N"
"ExxonMobil profits plunge on low oil prices"	"[AFP] - ExxonMobil reported Friday that second-quarter earnings plunged nearly 60 percent due to low oil prices and weak refining margins. Earnings came in at $1.7 billion, down 59.4 percent from the level a year ..."	"http://au.finance.yahoo.com/news/exxonmobil-profits-plunge-low-oil-022552883.html"	"N"
"Energy Sector Weighs Down U.S. Stocks"	"Energy Sector Weighs Down U.S. Stocks"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/4uR-haAOixE/energy-sector-weighs-down-us-stocks-20160801-01230"	"Y"
"Higher Open Tipped For Hong Kong Stock Market"	"Higher Open Tipped For Hong Kong Stock Market"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zYmPN6nOrDY/higher-open-tipped-for-hong-kong-stock-market-20160731-00035"	"Y"
"U.S. Stocks Lower as Oil Prices Skid"	"U.S. Stocks Lower as Oil Prices Skid"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/l0H4vCQrR7A/us-stocks-lower-as-oil-prices-skid-20160801-00794"	"Y"
"Iraq's oil exports from south rose to 3.2 million bpd in July"	"Iraq's oil exports from south rose to 3.2 million bpd in July"	"http://sg.finance.yahoo.com/news/iraqs-oil-exports-south-rose-085618562.html"	"Y"
"South Korea Shares May Find Traction On Monday"	"South Korea Shares May Find Traction On Monday"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/yUp8kqaPDZ0/south-korea-shares-may-find-traction-on-monday-20160731-00015"	"Y"
"China Stock Market Likely To Remain Rangebound"	"China Stock Market Likely To Remain Rangebound"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/iZHlI7QIzLU/china-stock-market-likely-to-remain-rangebound-20160731-00027"	"Y"
"Renewed Support Seen For Thai Stock Market"	"Renewed Support Seen For Thai Stock Market"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kGChkpmef60/renewed-support-seen-for-thai-stock-market-20160731-00053"	"Y"
"Mild Recovery Tipped For Indonesia Shares"	"Mild Recovery Tipped For Indonesia Shares"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/eRBg0KAlFoM/mild-recovery-tipped-for-indonesia-shares-20160731-00049"	"Y"
"Cheaper oil sends Exxon, Chevron to worst quarter in years"	"Cheaper oil sends Exxon, Chevron to worst quarter in years"	"http://sg.finance.yahoo.com/news/cheaper-oil-sends-exxon-chevron-180740412.html"	"Y"
"Inventory reduction curbs U.S. economic growth; rebound expected"	"[Reuters - UK Focus] - In addition, the GDP growth estimate for the fourth quarter was cut by five-tenths of a percentage point to a 0.9 percent rate. The three straight quarters of growth rates around 1 percent suggest a significant loss of momentum that puts the economy at the risk of stalling, but economists expect an acceleration in the second half against the backdrop of strong consumption."	"http://uk.finance.yahoo.com/news/inventory-liquidation-weighs-u-second-133046900.html"	"Y"
"Weak refining profits add to woes at Exxon, Chevron"	"Weak refining profits add to woes at Exxon, Chevron"	"http://uk.finance.yahoo.com/news/weak-refining-profits-add-woes-172316020.html"	"Y"
"Bargain Hunting May Lift Singapore Shares"	"Bargain Hunting May Lift Singapore Shares"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/vJ__K1MwNzw/bargain-hunting-may-lift-singapore-shares-20160731-00021"	"Y"
"Stocks close mostly higher, helped by technology, oil"	"Stocks close mostly higher, helped by technology, oil"	"http://sg.finance.yahoo.com/news/stocks-fall-bank-japans-stimulus-142250419.html"	"Y"
"Malaysia Bourse May End Losing Streak"	"Malaysia Bourse May End Losing Streak"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LECbiQxvEOU/malaysia-bourse-may-end-losing-streak-20160731-00016"	"Y"
"Oil rout erodes second-quarter profits for U.S. majors Exxon, Chevron"	"Oil rout erodes second-quarter profits for U.S. majors Exxon, Chevron"	"http://sg.finance.yahoo.com/news/oil-rout-erodes-second-quarter-141426370.html"	"Y"
"Business Highlights"	"Business Highlights"	"http://sg.finance.yahoo.com/news/business-highlights-210142374.html"	"Y"
"Exxon Official Calls Fossil Fuel Ban Unrealistic"	"Exxon Official Calls Fossil Fuel Ban Unrealistic"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Lw7NgKE8b8I/exxon-official-calls-fossil-fuel-ban-unrealistic-20160802-01044"	"N"
"ExxonMobil Supports Development of Emerging Technologies at University of Texas at Austin Energy Institute"	"[at noodls] - AUSTIN, Texas--(BUSINESS WIRE)--ExxonMobil announced today that it will invest $15 million as a leadership member of the University of Texas at Austin Energy Institute to pursue technologies to help meet ..."	"http://www.publicnow.com/view/A268945E344013F63001672BB48EC5AA09FC70F4"	"N"
"Exxon Official Says a Ban on Fossil Fuel is Unrealistic"	"Exxon Official Says a Ban on Fossil Fuel is Unrealistic"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/UQus_EdLXX8/exxon-official-says-a-ban-on-fossil-fuel-is-unrealistic-20160802-01037"	"N"
"US STOCKS-Wall St retreats from record high as energy shares fall with oil"	"US STOCKS-Wall St retreats from record high as energy shares fall with oil"	"http://uk.finance.yahoo.com/news/us-stocks-wall-st-retreats-185839032.html"	"N"
"US STOCKS-Wall St edges lower as energy sector weighs"	"[Reuters - UK Focus] - The S&P 500 and the Dow closed slightly lower on Monday, as a drop in oil prices dragged down energy stocks, while tech names Apple and Alphabet helped lift the Nasdaq to its highest close in over a year. ..."	"http://uk.finance.yahoo.com/news/us-stocks-wall-st-edges-202723130.html"	"N"
"U.S. states signed pact to keep Exxon climate probe confidential"	"U.S. states signed pact to keep Exxon climate probe confidential"	"http://sg.finance.yahoo.com/news/u-states-signed-pact-keep-040539619.html"	"N"
"MARKET SNAPSHOT: Stocks Back Off All-time Highs As Health-care Stocks Slump"	"MARKET SNAPSHOT: Stocks Back Off All-time Highs As Health-care Stocks Slump"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-JeY1zR9iGo/market-snapshot-stocks-back-off-alltime-highs-as-healthcare-stocks-slump-20160808-00726"	"N"
"Providence Resources Boosts Irish License Stake With Exxon Mobil Exit"	"Providence Resources Boosts Irish License Stake With Exxon Mobil Exit"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/YFmtemTQ_p8/providence-resources-boosts-irish-license-stake-with-exxon-mobil-exit-20160808-00038"	"N"
"You'll Want to Own These 5 Blue-Chip Breakouts in August"	"You'll Want to Own These 5 Blue-Chip Breakouts in August"	"https://www.thestreet.com/story/13672129/1/you-ll-want-to-own-these-5-blue-chip-breakouts-in-august.html?puc=yahoo&cm_ven=YAHOO"	"N"
"ExxonMobil to try alternate pipeline to export Nigeria's Qua Iboe crude"	"ExxonMobil to try alternate pipeline to export Nigeria's Qua Iboe crude"	"http://sg.finance.yahoo.com/news/exxonmobil-try-alternate-pipeline-export-111520870.html"	"N"
"ExxonMobil to try alternate pipeline to export Nigeria's Qua Iboe crude"	"[Reuters] - ExxonMobil is working on a plan to export Qua Iboe crude oil via an alternate pipeline while it repairs damage to the main export line sustained in July, sources told Reuters. The crude oil grade, Nigeria's largest export stream, has been under force majeure since mid-July, when the company said it detected a system anomaly on the subsea pipeline. Sources said the company later found substantial damage that would take at least one to two months to repair."	"http://finance.yahoo.com/news/exxonmobil-try-alternate-pipeline-export-115815745.html"	"N"
"Stocks Down With Lower Oil Prices"	"Stocks Down With Lower Oil Prices"	"http://finance.yahoo.com/news/stocks-down-lower-oil-prices-231540720.html"	"N"
"Stocks End Lower; Shake Shack Crushed After The Close"	"Stocks End Lower; Shake Shack Crushed After The Close"	"http://www.investors.com/market-trend/stock-market-today/stocks-end-lower-shake-shack-crushed-after-the-close/"	"N"
"The Zacks Analyst Blog Highlights: Exxon Mobil, Chevron, ConocoPhillips, Phillips 66 and HollyFrontier"	"For Immediate Release Chicago, IL August 12, 2016 Zacks.com announces the list of stocks featured in the Analyst Blog. Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets. Stocks"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_aM4_-8inZA/the-zacks-analyst-blog-highlights-exxon-mobil-chevron-conocophillips-phillips-66-and-hollyfrontier-cm664680"	"N"
"Dow Movers: MSFT, XOM"	"In early trading on Friday, shares of Exxon Mobil topped the list of the day's best performing Dow Jones Industrial Average components, trading up 0.6%. Year to date, Exxon Mobil registers a 11.9% gain. And the worst performing"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Im8OeBGwCAw/dow-movers-msft-xom-cm664652"	"N"
"Returns of Integrated Energy and Refiner Stocks"	"Returns of Integrated Energy and Refiner Stocks"	"http://marketrealist.com/2016/08/returns-integrated-energy-refiner-stocks-2/?utm_source=yahoo&utm_medium=feed"	"N"
"Marathon Petroleum Corporation (MPC) Ex-Dividend Date Scheduled for August 15, 2016"	"Marathon Petroleum Corporation ( MPC ) will begin trading ex dividend on August 15, 2016. A cash dividend payment of $0.36 per share is scheduled to be paid on September 12, 2016. Shareholders who purchased MPC prior to the"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/SrA6wosuHxU/marathon-petroleum-corporation-mpc-ex-dividend-date-scheduled-for-august-15-2016-cm664543"	"N"
"MARKET SNAPSHOT: Stocks Slip Off Records As A Drop In Miners Offsets Energy Rally"	"MARKET SNAPSHOT: Stocks Slip Off Records As A Drop In Miners Offsets Energy Rally"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6QmtOQZ9hrk/market-snapshot-stocks-slip-off-records-as-a-drop-in-miners-offsets-energy-rally-20160812-00479"	"N"
"Oil Falls on Surprise Stock Build, Record Saudi Output"	"The U.S. Energy Department's weekly inventory release showed that crude stockpiles recorded a surprise build. Worryingly, supplies at the Cushing, OK storage hub jumped, too. On a bullish note, the report revealed that refined product inventories gasoline and distillate"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/xTOi_poGoUw/oil-falls-on-surprise-stock-build-record-saudi-output-cm664360"	"N"
"Eni talks to big oil about stake sale in giant Egypt gas field - sources"	"Eni talks to big oil about stake sale in giant Egypt gas field - sources"	"http://uk.finance.yahoo.com/news/eni-talks-big-oil-stake-140712957.html"	"N"
"Crude Oil Jumps 4% As Saudi Arabia Hints At Production Cap"	"Crude Oil Jumps 4% As Saudi Arabia Hints At Production Cap"	"http://www.investors.com/news/iea-oil-glut-is-gone-but-weak-demand-seen-in-2017/"	"N"
"Exxon Mobil (XOM) Stock Climbs Alongside Oil Prices"	"Exxon Mobil (XOM) Stock Climbs Alongside Oil Prices"	"https://www.thestreet.com/story/13673007/1/exxon-mobil-xom-stock-climbs-alongside-oil-prices.html?puc=yahoo&cm_ven=YAHOO"	"N"
"3 Hated Dividend Stocks to Buy Now"	"Image source  Nucor.  ExxonMobil (NYSE  XOM) , Eaton Corp. (NYSE  ETN) , and Nucor (NYSE  NUE) are all off their highs at a time when the broader market is hovering"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/mXmBSXv2tpI/3-hated-dividend-stocks-to-buy-now-cm664283"	"N"
"See Which Of The Latest 13F Filers Holds Exxon Mobil"	"At Holdings Channel , we have reviewed the latest batch of the 34 most recent 13F filings for the 06 30 2016 reporting period, and noticed that Exxon Mobil Corp. (Symbol XOM) was held by 21 of these funds."	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6EfiWsbaZW0/see-which-of-the-latest-13f-filers-holds-exxon-mobil-cm664273"	"N"
"Exxon Said to Buy Stake in Major Gas Field (XOM)"	"Exxon Said to Buy Stake in Major Gas Field (XOM)"	"http://www.investopedia.com/news/exxon-said-buy-stake-major-gas-field-xom/?partner=YahooSA"	"N"
"Oil Up 4% On Saudi Rhetoric"	"Oil Up 4% On Saudi Rhetoric"	"http://finance.yahoo.com/news/oil-4-saudi-rhetoric-174200394.html"	"N"
"3 Hated Dividend Stocks to Buy Now"	"3 Hated Dividend Stocks to Buy Now"	"http://www.fool.com/investing/2016/08/11/3-hated-dividend-stocks-to-buy-now.aspx?source=yahoo-2&utm_campaign=article&utm_medium=feed&utm_source=yahoo-2"	"N"
"The Zacks Analyst Blog Highlights: Exxon Mobil, Chevron, Royal Dutch Shell and BP"	"For Immediate Release Chicago, IL August 15, 2016 Zacks.com announces the list of stocks featured in the Analyst Blog. Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets. Stocks"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-lqLxL3p4o0/the-zacks-analyst-blog-highlights-exxon-mobil-chevron-royal-dutch-shell-and-bp-cm665316"	"N"
"Alon USA Partners, LP (ALDW) Ex-Dividend Date Scheduled for August 16, 2016"	"Alon USA Partners, LP ( ALDW ) will begin trading ex dividend on August 16, 2016. A cash dividend payment of $0.14 per share is scheduled to be paid on August 25, 2016. Shareholders who purchased ALDW prior to"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lPWsYD0CWRA/alon-usa-partners-lp-aldw-ex-dividend-date-scheduled-for-august-16-2016-cm665244"	"N"
"Bernstein Downgrades InterOil, But Continues To See Upside For Long-Term Investors"	"Bernstein Downgrades InterOil, But Continues To See Upside For Long-Term Investors"	"http://finance.yahoo.com/news/bernstein-downgrades-interoil-continues-see-151312326.html"	"N"
"How Do Crude Oil Prices Affect Oil Stocks?"	"How Do Crude Oil Prices Affect Oil Stocks?"	"http://www.fool.com/investing/2016/08/14/how-do-crude-oil-prices-affect-oil-stocks.aspx?source=yahoo-2&utm_campaign=article&utm_medium=feed&utm_source=yahoo-2"	"N"
"Chevron vs. Exxon: Which Is Better Positioned Post-Q2?"	"Exxon Mobil Corp.XOM and Chevron Corp.CVX with their massive market capitalizations of $360 billion and $190 billion, respectively dominate and define the U.S. energy industry. Both these companies are engaged in the exploration and production of oil and natural"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/1VtzwMM1COY/chevron-vs-exxon-which-is-better-positioned-post-q2-cm664899"	"N"
"Chevron vs. Exxon: Which Is Better Positioned Post-Q2?"	"Chevron vs. Exxon: Which Is Better Positioned Post-Q2?"	"http://finance.yahoo.com/news/chevron-vs-exxon-better-positioned-203208753.html"	"N"
"Energy Sector Update for 08/15/2016: BAS, XOM, CVX, COP, SLB, OXY"	"Top Energy Stocks XOM +0.3% CVX +0.1% COP +0.1% SLB flat OXY +0.2% Energy shares were firmer in pre market trade on Monday, as crude oil futures logged gains, in step with the broader market. Light, sweet crude oil"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0a2QSZBYt1g/energy-sector-update-for-08152016-bas-xom-cvx-cop-slb-oxy-cm665221"	"N"
"The Zacks Analyst Blog Highlights: Exxon Mobil, Chevron, Royal Dutch Shell and BP"	"The Zacks Analyst Blog Highlights: Exxon Mobil, Chevron, Royal Dutch Shell and BP"	"http://finance.yahoo.com/news/zacks-analyst-blog-highlights-exxon-133001311.html"	"N"
"The Top 10 Natural Gas Producers"	"The Top 10 Natural Gas Producers"	"http://www.forbes.com/sites/rrapier/2016/08/12/the-top-10-natural-gas-producers/?utm_source=yahoo&utm_medium=partner&utm_campaign=yahootix&partner=yahootix"	"N"
