"data.title"	"data.publication_date"	"data.summary"	"data.url"	"data.ticker"	"data.figi_ticker"	"data.figi"	"result_count"	"page_size"	"current_page"	"total_pages"	"api_call_credits"
"52-Week Company Lows"	"2017-12-07T15:33:12.000+00:00"	"Details the 52-week lows of the following companies: General Electric, Merck & Co, Schlumberger, Enterprise Products Partners, Kinder Morgan and Edison International"	"https://finance.yahoo.com/news/52-week-company-lows-153312358.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"52-Week Company Lows"	"2017-12-07T15:33:12.000+00:00"	"Details the 52-week lows of the following companies: General Electric, Merck & Co, Schlumberger, Enterprise Products Partners, Kinder Morgan and Edison International"	"https://finance.yahoo.com/news/52-week-company-lows-153312358.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"NYSE, Nasdaq Open: Broadcom Climbs As This Biotech Stock Spikes"	"2017-12-07T15:10:02.000+00:00"	"Stocks stumbled out to a mixed start then turned positive Thursday helped by strong early moves from Broadcom AVGO Dollar General DG and Lululemon Athletica LULU ibd display video id 3009194 width 50 float left autostart true"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_DriKQlrMF0/nyse-nasdaq-open-broadcom-climbs-as-this-biotech-stock-spikes-cm888095"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"NYSE, Nasdaq Open: Broadcom Climbs As This Biotech Stock Spikes"	"2017-12-07T15:10:02.000+00:00"	"Stocks stumbled out to a mixed start then turned positive Thursday helped by strong early moves from Broadcom AVGO Dollar General DG and Lululemon Athletica LULU ibd display video id 3009194 width 50 float left autostart true"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_DriKQlrMF0/nyse-nasdaq-open-broadcom-climbs-as-this-biotech-stock-spikes-cm888095"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Why 2017 Was a Year to Forget for Merck & Co. Inc."	"2017-12-07T13:16:23.000+00:00"	"Better luck next year That s what Merck amp Co NYSE MRK is hoping for after a disappointing 2017 Merck stock is down year to date by 7 while the S amp P 500 index is up close to 18 Will Merck actually enjoy better luck in 2018 Perhaps But it s first important"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/PmbjcwFzVh4/why-2017-was-a-year-to-forget-for-merck-co-inc-cm888038"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Why 2017 Was a Year to Forget for Merck & Co. Inc."	"2017-12-07T13:16:23.000+00:00"	"Better luck next year That s what Merck amp Co NYSE MRK is hoping for after a disappointing 2017 Merck stock is down year to date by 7 while the S amp P 500 index is up close to 18 Will Merck actually enjoy better luck in 2018 Perhaps But it s first important"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/PmbjcwFzVh4/why-2017-was-a-year-to-forget-for-merck-co-inc-cm888038"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"See what the IHS Markit Score report has to say about Merck & Co Inc."	"2017-12-07T13:01:35.000+00:00"	"Merck & Co Inc NYSE:MRK"	"https://finance.yahoo.com/news/see-ihs-markit-score-report-130135137.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"See what the IHS Markit Score report has to say about Merck & Co Inc."	"2017-12-07T13:01:35.000+00:00"	"Merck & Co Inc NYSE:MRK"	"https://finance.yahoo.com/news/see-ihs-markit-score-report-130135137.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Why 2017 Was a Year to Forget for Merck & Co. Inc."	"2017-12-07T11:08:00.000+00:00"	"Everything looked OK for the drugmaker until Merck delivered an unwelcome October surprise."	"https://finance.yahoo.com/news/why-2017-forget-merck-co-110800675.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Why 2017 Was a Year to Forget for Merck & Co. Inc."	"2017-12-07T11:08:00.000+00:00"	"Everything looked OK for the drugmaker until Merck delivered an unwelcome October surprise."	"https://finance.yahoo.com/news/why-2017-forget-merck-co-110800675.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Merck CEO on business conditions in China"	"2017-12-07T02:10:00.000+00:00"	"Merck Chairman and CEO Stefan Oschmann weighs in on the business environment in China and how that has affected the pharmaceutical industry."	"https://finance.yahoo.com/video/merck-ceo-business-conditions-china-021000556.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Merck CEO on business conditions in China"	"2017-12-07T02:10:00.000+00:00"	"Merck Chairman and CEO Stefan Oschmann weighs in on the business environment in China and how that has affected the pharmaceutical industry."	"https://finance.yahoo.com/video/merck-ceo-business-conditions-china-021000556.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Merck Becomes Oversold"	"2017-12-06T22:08:14.000+00:00"	"The DividendRank formula at Dividend Channel ranks a coverage universe of thousands of dividend stocks according to a proprietary formula designed to identify those stocks that combine two important characteristics strong fundamentals and a valuation that looks inexpensive Merck amp"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8nH99s5W4Ig/merck-becomes-oversold-cm887861"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Merck Becomes Oversold"	"2017-12-06T22:08:14.000+00:00"	"The DividendRank formula at Dividend Channel ranks a coverage universe of thousands of dividend stocks according to a proprietary formula designed to identify those stocks that combine two important characteristics strong fundamentals and a valuation that looks inexpensive Merck amp"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8nH99s5W4Ig/merck-becomes-oversold-cm887861"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"New England Journal of Medicine Publishes Phase 3 Clinical Study of PREVYMIS™ (letermovir), Merck’s New CMV Prophylaxis Medicine"	"2017-12-06T22:02:00.000+00:00"	"Merck & Co., Inc. , known as MSD outside the United States and Canada, today announced that the New England Journal of Medicine has published online the main results from the pivotal Phase 3 clinical study of PREVYMIS™ , the company’s new medicine for prophylaxis of cytomegalovirus infection and disease in adult CMV-seropositive recipients  of an allogeneic hematopoietic stem cell transplant ."	"https://finance.yahoo.com/news/england-journal-medicine-publishes-phase-220200219.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"New England Journal of Medicine Publishes Phase 3 Clinical Study of PREVYMIS™ (letermovir), Merck’s New CMV Prophylaxis Medicine"	"2017-12-06T22:02:00.000+00:00"	"Merck & Co., Inc. , known as MSD outside the United States and Canada, today announced that the New England Journal of Medicine has published online the main results from the pivotal Phase 3 clinical study of PREVYMIS™ , the company’s new medicine for prophylaxis of cytomegalovirus infection and disease in adult CMV-seropositive recipients  of an allogeneic hematopoietic stem cell transplant ."	"https://finance.yahoo.com/news/england-journal-medicine-publishes-phase-220200219.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Market Close Report: NASDAQ Composite index closes at 6,776.38 up 14.17 points"	"2017-12-06T21:49:41.000+00:00"	"Wednesday s session closes with the NASDAQ Composite Index at 6 776 38 The total shares traded for the NASDAQ was over 1 92 billion Declining stocks led advancers by 1 88 to 1 ratio There were 1038 advancers and 1949 decliners for the day On the NASDAQ Stock Exchange 21 stocks reached a 52"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/PWDPID94xsY/market-close-report-nasdaq-composite-index-closes-at-677638-up-1417-points-cm887889"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Market Close Report: NASDAQ Composite index closes at 6,776.38 up 14.17 points"	"2017-12-06T21:49:41.000+00:00"	"Wednesday s session closes with the NASDAQ Composite Index at 6 776 38 The total shares traded for the NASDAQ was over 1 92 billion Declining stocks led advancers by 1 88 to 1 ratio There were 1038 advancers and 1949 decliners for the day On the NASDAQ Stock Exchange 21 stocks reached a 52"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/PWDPID94xsY/market-close-report-nasdaq-composite-index-closes-at-677638-up-1417-points-cm887889"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Roche to seize leap-frog opportunity in lung cancer"	"2017-12-06T18:34:56.000+00:00"	"After lagging rivals in cancer  immunotherapies, Swiss drugmaker Roche hopes to  leap-frog into the lead in the biggest market, tackling  previously untreated lung cancer.  We have a real chance to be at the forefront here, Chief  Executive Severin Schwan said on Wednesday."	"https://finance.yahoo.com/news/roche-seize-leap-frog-opportunity-183456572.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Roche to seize leap-frog opportunity in lung cancer"	"2017-12-06T18:34:56.000+00:00"	"After lagging rivals in cancer  immunotherapies, Swiss drugmaker Roche hopes to  leap-frog into the lead in the biggest market, tackling  previously untreated lung cancer.  We have a real chance to be at the forefront here, Chief  Executive Severin Schwan said on Wednesday."	"https://finance.yahoo.com/news/roche-seize-leap-frog-opportunity-183456572.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Novo Nordisk's Semaglutide Gets FDA Approval for Diabetes"	"2017-12-06T17:10:32.000+00:00"	"Novo Nordisk NVO announced that the FDA has approved its semaglutide once daily pre filled pen to improve glycaemic control in type II diabetes patients The GLP 1 receptor agonist will be marketed by the trade name of Ozempic The approval of Ozempic was based on results from the phase"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ptZW2yxexLo/novo-nordisks-semaglutide-gets-fda-approval-for-diabetes-cm887648"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Novo Nordisk's Semaglutide Gets FDA Approval for Diabetes"	"2017-12-06T17:10:32.000+00:00"	"Novo Nordisk NVO announced that the FDA has approved its semaglutide once daily pre filled pen to improve glycaemic control in type II diabetes patients The GLP 1 receptor agonist will be marketed by the trade name of Ozempic The approval of Ozempic was based on results from the phase"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ptZW2yxexLo/novo-nordisks-semaglutide-gets-fda-approval-for-diabetes-cm887648"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"The Zacks Analyst Blog Highlights: Home Depot, Boeing, Merck, Allstate and Illumina"	"2017-12-06T16:11:48.000+00:00"	"For Immediate Release Chicago IL December 6 2017 Zacks com announces the list of stocks featured in the Analyst Blog Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets Stocks recently featured in the"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/vJwDxZoLJo4/the-zacks-analyst-blog-highlights-home-depot-boeing-merck-allstate-and-illumina-cm887563"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"The Zacks Analyst Blog Highlights: Home Depot, Boeing, Merck, Allstate and Illumina"	"2017-12-06T16:11:48.000+00:00"	"For Immediate Release Chicago IL December 6 2017 Zacks com announces the list of stocks featured in the Analyst Blog Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets Stocks recently featured in the"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/vJwDxZoLJo4/the-zacks-analyst-blog-highlights-home-depot-boeing-merck-allstate-and-illumina-cm887563"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Can Drug/Biotech M&A Rebound Next Year After Bleak 2017?"	"2017-12-06T16:11:10.000+00:00"	"Quite a few pharmaceutical industry mergers may be in the cards in 2018 if the proposed tax reforms are finally approved The U S Senate passed an amended tax reform bill last week thereby successfully passing the second stage The bill will now be presented to a conference committee"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/vniq4q2o4ag/can-drugbiotech-ma-rebound-next-year-after-bleak-2017-cm887544"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Can Drug/Biotech M&A Rebound Next Year After Bleak 2017?"	"2017-12-06T16:11:10.000+00:00"	"Quite a few pharmaceutical industry mergers may be in the cards in 2018 if the proposed tax reforms are finally approved The U S Senate passed an amended tax reform bill last week thereby successfully passing the second stage The bill will now be presented to a conference committee"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/vniq4q2o4ag/can-drugbiotech-ma-rebound-next-year-after-bleak-2017-cm887544"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"These 3 Stocks Just Raised Their Dividends"	"2017-12-06T13:31:00.000+00:00"	"Shareholders of Walt Disney, Merck, and McCormick are getting some gifts in advance of the holiday season."	"https://finance.yahoo.com/news/3-stocks-just-raised-dividends-133100205.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"These 3 Stocks Just Raised Their Dividends"	"2017-12-06T13:31:00.000+00:00"	"Shareholders of Walt Disney, Merck, and McCormick are getting some gifts in advance of the holiday season."	"https://finance.yahoo.com/news/3-stocks-just-raised-dividends-133100205.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Building a Circle of Competency"	"2017-12-06T13:06:55.000+00:00"	"In my previous article I shared my favorite quotes from Li Lu on the subject of circle of competency While those quotes are great they won t have any practical value unless we can actually put them into practice Today I ll share my journey of building a circle of competency could very well be"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7QmPH3lB8dE/building-a-circle-of-competency-cm887360"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Building a Circle of Competency"	"2017-12-06T13:06:55.000+00:00"	"In my previous article I shared my favorite quotes from Li Lu on the subject of circle of competency While those quotes are great they won t have any practical value unless we can actually put them into practice Today I ll share my journey of building a circle of competency could very well be"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7QmPH3lB8dE/building-a-circle-of-competency-cm887360"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Top Analyst Reports for Home Depot, Boeing & Merck"	"2017-12-06T07:08:12.000+00:00"	"Tuesday December 5 2017 The Zacks Research Daily presents the best research output of our analyst team Today s Research Daily features new research reports on 16 major stocks including Home Depot HD Boeing BA and Merck MRK These research reports have been hand picked from the"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/vEw0aHQsi2M/top-analyst-reports-for-home-depot-boeing-merck-cm887324"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Top Analyst Reports for Home Depot, Boeing & Merck"	"2017-12-06T07:08:12.000+00:00"	"Tuesday December 5 2017 The Zacks Research Daily presents the best research output of our analyst team Today s Research Daily features new research reports on 16 major stocks including Home Depot HD Boeing BA and Merck MRK These research reports have been hand picked from the"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/vEw0aHQsi2M/top-analyst-reports-for-home-depot-boeing-merck-cm887324"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Top Analyst Reports for Home Depot, Boeing & Merck"	"2017-12-05T21:58:09.000+00:00"	"Top Analyst Reports for Home Depot, Boeing & Merck"	"https://finance.yahoo.com/news/top-analyst-reports-home-depot-215809976.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Top Analyst Reports for Home Depot, Boeing & Merck"	"2017-12-05T21:58:09.000+00:00"	"Top Analyst Reports for Home Depot, Boeing & Merck"	"https://finance.yahoo.com/news/top-analyst-reports-home-depot-215809976.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Biotech Stocks May See a New M&A Wave in 2018"	"2017-12-05T17:15:00.000+00:00"	"Struggling biotech giants could bolster their stocks in 2018 if they acquire smaller drug companies."	"http://finance.yahoo.com/r/8316419d-d165-30ef-a364-2df07c34eef4/biotech-stocks-may-see-new-ma-wave-2018?partner=YahooSA&yptr=yahoo&.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Biotech Stocks May See a New M&A Wave in 2018"	"2017-12-05T17:15:00.000+00:00"	"Struggling biotech giants could bolster their stocks in 2018 if they acquire smaller drug companies."	"http://finance.yahoo.com/r/8316419d-d165-30ef-a364-2df07c34eef4/biotech-stocks-may-see-new-ma-wave-2018?partner=YahooSA&yptr=yahoo&.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Noteworthy ETF Outflows: IVW, GOOG, MRK, ACN"	"2017-12-05T17:09:01.000+00:00"	"Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the iShares S amp P 500 Growth ETF Symbol IVW where we have detected an approximate 158 3 million dollar outflow that s a 0 8 decrease week over week"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/i_ID4yaiZUg/noteworthy-etf-outflows-ivw-goog-mrk-acn-cm886891"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Noteworthy ETF Outflows: IVW, GOOG, MRK, ACN"	"2017-12-05T17:09:01.000+00:00"	"Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the iShares S amp P 500 Growth ETF Symbol IVW where we have detected an approximate 158 3 million dollar outflow that s a 0 8 decrease week over week"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/i_ID4yaiZUg/noteworthy-etf-outflows-ivw-goog-mrk-acn-cm886891"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Analyst Recommendations for Merck & Co. in November 2017"	"2017-12-05T14:00:14.000+00:00"	"Wall Street analysts estimate Merck & Co.’s (MRK) top line to rise 1.1% to ~$40.2 billion in 2017. EPS (earnings per share) is expected to be $3.94 for 2017."	"http://finance.yahoo.com/r/a94f3757-34bd-32ac-b009-7b4110bea702/analyst-recommendations-merck-co-november-2017?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Analyst Recommendations for Merck & Co. in November 2017"	"2017-12-05T14:00:14.000+00:00"	"Wall Street analysts estimate Merck & Co.’s (MRK) top line to rise 1.1% to ~$40.2 billion in 2017. EPS (earnings per share) is expected to be $3.94 for 2017."	"http://finance.yahoo.com/r/a94f3757-34bd-32ac-b009-7b4110bea702/analyst-recommendations-merck-co-november-2017?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"3 Stocks That Cut Bigger Checks Than PepsiCo"	"2017-12-05T14:00:00.000+00:00"	"Pepsi is a fantastic business with a healthy dividend. But your quarterly check will be even larger if you invest in these three companies."	"https://finance.yahoo.com/news/3-stocks-cut-bigger-checks-140000744.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"3 Stocks That Cut Bigger Checks Than PepsiCo"	"2017-12-05T14:00:00.000+00:00"	"Pepsi is a fantastic business with a healthy dividend. But your quarterly check will be even larger if you invest in these three companies."	"https://finance.yahoo.com/news/3-stocks-cut-bigger-checks-140000744.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"See what the IHS Markit Score report has to say about Merck & Co Inc."	"2017-12-05T13:01:32.000+00:00"	"Merck & Co Inc NYSE:MRK"	"https://finance.yahoo.com/news/see-ihs-markit-score-report-130132091.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"See what the IHS Markit Score report has to say about Merck & Co Inc."	"2017-12-05T13:01:32.000+00:00"	"Merck & Co Inc NYSE:MRK"	"https://finance.yahoo.com/news/see-ihs-markit-score-report-130132091.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Analysts’ Estimates for Merck & Co. after 3Q17"	"2017-12-05T12:30:32.000+00:00"	"Wall Street analysts estimate that Merck will report EPS of $3.94 in 2017 compared to $3.78 in 2016."	"http://finance.yahoo.com/r/4d2ba00d-9603-3e65-a3b9-a9e8cb43e16d/analysts-estimates-merck-co-3q17?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Analysts’ Estimates for Merck & Co. after 3Q17"	"2017-12-05T12:30:32.000+00:00"	"Wall Street analysts estimate that Merck will report EPS of $3.94 in 2017 compared to $3.78 in 2016."	"http://finance.yahoo.com/r/4d2ba00d-9603-3e65-a3b9-a9e8cb43e16d/analysts-estimates-merck-co-3q17?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Notable Monday Option Activity: MRK, TOL, CAKE"	"2017-12-04T22:14:35.000+00:00"	"Among the underlying components of the Russell 3000 index we saw noteworthy options trading volume today in Merck amp Co Inc Symbol MRK where a total of 56 279 contracts have traded so far representing approximately 5 6 million underlying shares That amounts to about 46 5 of MRK"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MhVbzL8QgtQ/notable-monday-option-activity-mrk-tol-cake-cm886494"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Notable Monday Option Activity: MRK, TOL, CAKE"	"2017-12-04T22:14:35.000+00:00"	"Among the underlying components of the Russell 3000 index we saw noteworthy options trading volume today in Merck amp Co Inc Symbol MRK where a total of 56 279 contracts have traded so far representing approximately 5 6 million underlying shares That amounts to about 46 5 of MRK"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MhVbzL8QgtQ/notable-monday-option-activity-mrk-tol-cake-cm886494"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Walt Disney Co Leads 5 Dividend Stocks Boosting Payouts"	"2017-12-04T15:42:55.000+00:00"	"The S&#38;P 500 Index powered higher last week as Congress appeared to be making progress on a bill to lower corporate taxes. While the stock market continues making new highs, a number of companies have also been moving their dividends higher."	"https://finance.yahoo.com/news/walt-disney-co-leads-5-154255973.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Walt Disney Co Leads 5 Dividend Stocks Boosting Payouts"	"2017-12-04T15:42:55.000+00:00"	"The S&#38;P 500 Index powered higher last week as Congress appeared to be making progress on a bill to lower corporate taxes. While the stock market continues making new highs, a number of companies have also been moving their dividends higher."	"https://finance.yahoo.com/news/walt-disney-co-leads-5-154255973.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
